ground,matches,total_runs,total_wickets,balls,rpo,country
Singapore National Cricket Ground,17,4624,199,3654,7.59,Singapore
"Himachal Pradesh Cricket Association Stadium, Dharamsala",16,4701,176,3292,8.57,India
Bulawayo Athletic Club,16,4739,210,3754,7.57,Zimbabwe
"St Albans Club, Buenos Aires",16,3212,198,3420,5.64,Argentina
Europa Sports Complex,16,4317,216,3706,6.99,Gibraltar
"College Ground, Cheltenham",16,4586,205,3390,8.12,England
"City Oval, Pietermaritzburg",15,4595,187,3611,7.64,South Africa
"Pukekura Park, New Plymouth",15,5265,212,3556,8.88,New Zealand
"GMHBA Stadium, South Geelong, Victoria",15,4009,203,3471,6.93,Australia
"JSCA International Stadium Complex, Ranchi",15,4224,175,3153,8.04,India
Happy Valley Ground,14,3893,189,3289,7.1,Cyprus
"Yeonhui Cricket Ground, Incheon",14,2903,198,3154,5.52,South Korea
"White Hill Field, Sandys Parish",14,3412,192,3153,6.49,Bermuda
"Sikh Union Club Ground, Nairobi",14,4044,161,3245,7.48,Kenya
"Surrey Village, Maggona",14,3650,186,3123,7.01,Sri Lanka
Kunduz Cricket Ground,13,3587,202,3069,7.01,Afghanistan
"Svanholm Park, Brondby",13,3117,178,3002,6.23,Denmark
"Jimmy Powell Oval, Cayman Islands",13,3039,148,2810,6.49,Cayman Islands
"Goldenacre, Edinburgh",13,3461,172,2873,7.23,Scotland
"Molyneux Park, Alexandra",13,3693,171,2887,7.68,New Zealand
Mulpani Cricket Ground,13,3768,165,3090,7.32,Nepal
"Guernsey Rovers Athletic Club Ground, Port Soif",13,3174,186,2983,6.38,Guernsey
"Hurlingham Club Ground, Buenos Aires",13,2873,201,2988,5.77,Argentina
Gelephu International Cricket Ground,13,3051,175,3055,5.99,Bhutan
"Takashinga Sports Club, Highfield, Harare",12,3104,145,2760,6.75,Zimbabwe
University of Doha for Science and Technology,12,3270,164,2815,6.97,Qatar
Vanuatu Cricket Ground,12,3211,163,2719,7.09,Vanuatu
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",12,3137,161,2711,6.94,India
"Coolidge Cricket Ground, Antigua",12,3078,149,2702,6.83,West Indies
Roma Cricket Ground,12,3038,175,2753,6.62,Italy
"Simar Cricket Ground, Rome",12,3292,170,2866,6.89,Italy
"Royal Brussels Cricket Club Ground, Waterloo",12,3477,167,2892,7.21,Belgium
"Darren Sammy National Cricket Stadium, Gros Islet, St Lucia",11,3311,128,2425,8.19,West Indies
"Sylhet International Cricket Stadium, Academy Ground",11,2641,119,2096,7.56,Bangladesh
"Sardar Patel Stadium, Motera, Ahmedabad",11,3200,115,2574,7.46,India
"Sportpark Westvliet, The Hague",11,3216,155,2625,7.35,Netherlands
La Manga Club Bottom Ground,11,2150,126,2243,5.75,Spain
"Khan Shaheb Osman Ali Stadium, Fatullah",10,2535,122,1999,7.61,Bangladesh
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",10,3184,144,2313,8.26,India
"Faleata Oval No 2, Apia",10,2831,140,2402,7.07,Samoa
"Velden Cricket Ground, Latschach",10,3261,148,2484,7.88,Austria
"Sheikh Zayed Stadium Nursery 1, Abu Dhabi",10,2449,138,2202,6.67,United Arab Emirates
"Abhimanyu Cricket Academy, Dehradun",10,2700,113,2331,6.95,India
"The Green, Comber",10,2758,127,2130,7.77,Ireland
"YSD-UKM Cricket Oval, Bangi",10,1876,114,1870,6.02,Malaysia
"Darren Sammy National Cricket Stadium, Gros Islet",9,2847,106,2137,7.99,West Indies
"Saxton Oval, Nelson",9,2926,121,2018,8.7,New Zealand
"Westpac Stadium, Wellington",9,2806,133,2120,7.94,New Zealand
"Queen's Park, Chesterfield",9,2806,116,2028,8.3,England
"Oakland Coliseum,Oakland",9,3075,128,2089,8.83,United States of America
"Nigeria Cricket Federation Oval 2, Abuja",9,1793,114,1764,6.1,Nigeria
"Mladost Cricket Ground, Zagreb",9,2264,121,1979,6.86,Croatia
"Gymkhana Club Ground, Dar-es-Salaam",8,1156,117,1365,5.08,Tanzania
"De Zoysa Stadium, Moratuwa",8,1801,92,1725,6.26,Sri Lanka
"Radlett Cricket Club, Radlett",8,2811,100,1874,9.0,England
"Barsapara Cricket Stadium, Guwahati",8,2825,91,1963,8.63,India
"Belgrano Athletic Club Ground, Buenos Aires",8,2089,97,1911,6.56,Argentina
Happy Valley Ground 2,8,1990,104,1860,6.42,Cyprus
"Nassau County International Cricket Stadium, New York",8,1704,107,1858,5.5,United States of America
"Botkyrka Cricket Center, Stockholm",8,2179,109,1930,6.77,Sweden
"Sportpark Westvliet, Voorburg",8,2286,92,1901,7.22,Netherlands
"Aurora Stadium, Launceston",7,1778,78,1413,7.55,Australia
"Arnos Vale Ground, Kingstown, St Vincent",7,1736,112,1675,6.22,West Indies
"National Stadium, Hamilton",7,1474,93,1429,6.19,Bermuda
"Vassil Levski National Sports Academy, Sofia",7,2817,84,1619,10.44,Bulgaria
"Church Street Park, Morrisville",7,1799,80,1442,7.49,United States of America
"College Field, St Peter Port",7,1718,93,1553,6.64,Guernsey
"Stars Arena Hofstade, Zemst",7,1818,100,1496,7.29,Belgium
Prairie View Cricket Complex,7,2138,87,1675,7.66,United States of America
"Kyambogo Cricket Oval, Kampala",7,1476,79,1395,6.35,Uganda
La Manga Club Top Ground,7,1739,84,1492,6.99,Spain
"National Cricket Stadium, St George's, Grenada",7,2344,95,1733,8.12,West Indies
Pierre Werner Cricket Ground,7,2068,98,1726,7.19,Luxembourg
"Kent County Cricket Ground, Beckenham",7,2370,84,1694,8.39,England
Dreux Sport Cricket Club,7,1799,106,1593,6.78,France
"Clayton Panama, Panama City",7,1411,87,1459,5.8,Panama
"Reliance Stadium, Vadodara",7,2112,89,1672,7.58,India
"Selangor Turf Club, Kuala Lumpur",7,1870,89,1618,6.93,Malaysia
Zhejiang University of Technology Cricket Field,7,1457,82,1308,6.68,China
"Sportpark Het Schootsveld, Deventer",7,2068,78,1649,7.52,Netherlands
University of Lagos Cricket Oval,6,1138,91,1431,4.77,Nigeria
Uxbridge Cricket Club Ground,6,1991,73,1374,8.69,England
"VRA Ground, Amstelveen",6,1758,70,1422,7.42,Netherlands
"DY Patil Academy, Ambi",6,2374,79,1459,9.76,India
"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",6,1525,69,1202,7.61,Bangladesh
"Sportpark Maarschalkerweerd, Utrecht",6,1436,70,1202,7.17,Netherlands
Sri Lanka Army Ordnance Corps International Cricket Stadium,6,1600,86,1345,7.14,Sri Lanka
Santarem Cricket Ground,6,1750,82,1444,7.27,Portugal
"St George's College Ground, Buenos Aires",6,1045,99,1348,4.65,Argentina
"Old Deer Park, Richmond",6,1890,80,1378,8.23,England
"Meersen, Gent",6,1507,79,1306,6.92,Belgium
"Merchant Taylors' School Ground, Northwood",6,2107,79,1441,8.77,England
Lisicji Jarak Cricket Ground,6,2186,72,1537,8.53,Serbia
"Hazelaarweg, Rotterdam",6,1813,93,1476,7.37,Netherlands
Gucherre Cricket Ground,6,1912,71,1506,7.62,Portugal
"Rajiv Gandhi International Cricket Stadium, Dehradun",6,1975,77,1483,7.99,India
"Greater Noida Sports Complex Ground, Greater Noida",6,1987,80,1380,8.64,India
"Achimota Senior Secondary School A Field, Accra",6,1591,89,1447,6.6,Ghana
University of Dar-es-Salaam Ground,6,782,72,1006,4.66,Tanzania
"Achimota Senior Secondary School B Field, Accra",6,1326,88,1282,6.21,Ghana
"Titwood, Glasgow",6,1865,94,1463,7.65,Scotland
"Maple Leaf North-East Ground, King City",5,1475,66,1190,7.44,Canada
Malkerns Country Club oval,5,1375,61,1026,8.04,Eswatini
Los Reyes Polo Club,5,841,81,1128,4.47,Costa Rica
"Ishoj Cricket Club, Vejledalen",5,1326,84,1210,6.58,Denmark
Estonian National Cricket and Rugby Field,5,1434,80,1186,7.25,Estonia
"Police Park Ground, Colombo",5,1043,67,895,6.99,Sri Lanka
"Green Park, Kanpur",5,1593,59,1162,8.23,India
"ICC Academy Ground No 2, Dubai",5,1456,68,1171,7.46,United Arab Emirates
"Shaheed Veer Narayan Singh International Stadium, Raipur",5,1483,57,1197,7.43,India
"Solvangs Park, Glostrup",5,1222,85,1136,6.45,Denmark
"Ruaraka Sports Club Ground, Nairobi",5,1354,63,1139,7.13,Kenya
"Castle Avenue, Dublin",5,1648,56,1198,8.25,Ireland
