bowl,wickets,runs,balls,econ,avg
Luke Hollman,77,1779,1248,8.55,23.1
Luke Jongwe,97,2338,1688,8.31,24.1
Luke Le Tissier,14,177,174,6.1,12.64
Luke Philander,5,106,102,6.24,21.2
Luke Potthoff,4,33,34,5.82,8.25
Luke Procter,19,621,414,9.0,32.68
Luke Robinson,3,39,43,5.44,13.0
Luke Schlemmer,3,54,42,7.71,18.0
Luke Stephen Robinson,2,74,43,10.33,37.0
Luke Thomas Bichard,40,663,647,6.15,16.58
Luke Ward,1,4,6,4.0,4.0
Luke Wells,42,1416,1102,7.71,33.71
Luke Wood,221,5324,3985,8.02,24.09
Luke Woodcock,9,188,152,7.42,20.89
Lukman Meriwala,30,403,337,7.18,13.43
Lundi Mbane,9,246,178,8.29,27.33
Lungi Ngidi,200,4011,3023,7.96,20.06
Luo Shilin,6,164,165,5.96,27.33
Luqman Butt,20,592,473,7.51,29.6
Lutfullah Mohammadi,4,103,69,8.96,25.75
Luthando Mnyanda,3,66,60,6.6,22.0
Lutho Sipamla,67,1679,1135,8.88,25.06
Luvsanzundui Erdenebulgan,11,277,179,9.28,25.18
Luvuyo Adam,1,38,25,9.12,38.0
Luvuyo Nkese,14,223,176,7.6,15.93
Luwsanzundui Erdenebulgan,6,107,87,7.38,17.83
Lwandiswa Zuma,17,606,419,8.68,35.65
Lyndon James,11,412,263,9.4,37.45
Lyndon Volkwyn,0,18,13,8.31,
M Hemanth Reddy,0,31,18,10.33,
M Mohammed,16,284,219,7.78,17.75
M Shahrukh Khan,1,28,18,9.33,28.0
MD Nidheesh,1,98,51,11.53,98.0
Ma Qiancheng,17,194,210,5.54,11.41
Ma'ara Ave,11,191,170,6.74,17.36
Maarten Steenkamp,4,133,77,10.36,33.25
Maaz Khan,9,239,183,7.84,26.56
Maaz Sadaqat,9,64,91,4.22,7.11
Macai Simmons,0,13,7,11.14,
Mackenzie Jones,3,96,44,13.09,32.0
Macquille Walker,1,23,21,6.57,23.0
Madawa Warnapura,25,340,360,5.67,13.6
Madhav Tiwari,0,14,6,14.0,
Madhawa Basnayaka,5,98,74,7.95,19.6
Madhawa Nimesh,2,28,37,4.54,14.0
Maduka Liyanapathiranage,18,570,438,7.81,31.67
Madupa Fernando,9,121,148,4.91,13.44
Madura Lakmal,0,54,37,8.76,
Madura Madushanka,2,22,30,4.4,11.0
Madushan Ravichandrakumar,23,411,372,6.63,17.87
Madushanka Ekanayake,8,139,120,6.95,17.38
Madushanka Premaratne,4,41,41,6.0,10.25
Magnus Kristensen,0,24,18,8.0,
Mahaj Chadha,8,145,97,8.97,18.12
Mahamadou Diaby,4,36,35,6.17,9.0
Mahamadou Malle,1,33,29,6.83,33.0
Mahedi Hasan,181,4174,3644,6.87,23.06
Maheesh Theekshana,213,5418,4699,6.92,25.44
Mahela Udawatte,1,39,25,9.36,39.0
Mahesh Pithiya,0,23,24,5.75,
Mahesh Prasanna,4,128,83,9.25,32.0
Mahesh Priyadarshana,12,324,286,6.8,27.0
Mahesh Tambe,30,579,527,6.59,19.3
Mahfuzur Rahman Rabby,11,166,151,6.6,15.09
Mahipal Lomror,2,157,126,7.48,78.5
Mahli Beardman,3,64,43,8.93,21.33
Mahmad Data,0,21,11,11.45,
Mahmed Bawa,3,20,24,5.0,6.67
Mahmud Jasat,0,13,7,11.14,
Mahmudul Hasan,4,289,225,7.71,72.25
Mahmudul Hasan Joy,0,27,14,11.57,
Mahmudullah,101,2197,1888,6.98,21.75
Mahsid Faheem,9,133,133,6.0,14.78
Mahuru Dai,7,216,211,6.14,30.86
Majid Ali,7,192,145,7.94,27.43
Makoto Taniyama,37,378,440,5.15,10.22
Malachi Jones,15,289,313,5.54,19.27
Malan Madusanka,2,43,25,10.32,21.5
Malay Raj,1,13,13,6.0,13.0
Malcolm Nofal,6,190,138,8.26,31.67
Malcolm Sedgwick,0,21,6,21.0,
Malcolm Waller,2,73,55,7.96,36.5
Maleesha Silva,2,6,18,2.0,3.0
Malinda Abhishek,1,37,23,9.65,37.0
Malinda Jayod,3,80,51,9.41,26.67
Malinda Perera,9,43,69,3.74,4.78
Malinda Pushpakumara,109,1432,1334,6.44,13.14
Malindu Shehan,1,64,55,6.98,64.0
Malinga Amarasinghe,12,301,251,7.2,25.08
Malinga Bandara,6,69,61,6.79,11.5
Malith Cooray,5,104,78,8.0,20.8
Malith de Silva,23,532,458,6.97,23.13
Malka Madusanka,8,62,77,4.83,7.75
Malliksab Sirur,3,15,24,3.75,5.0
Malsha Tharupathi,28,388,373,6.24,13.86
Malusi Siboto,91,1877,1520,7.41,20.63
Malyar Stanikzai,3,175,132,7.95,58.33
Mamadou Diawara,3,112,86,7.81,37.33
Mamoon Latif,1,14,8,10.5,14.0
Manan Ali,0,42,32,7.88,
Manasa Madubashana,0,12,7,10.29,
Manav Suthar,7,143,109,7.87,20.43
Mancoba Jele,15,352,300,7.04,23.47
Mandar Mahale,0,39,18,13.0,
Mandeep Singh,1,32,18,10.67,32.0
Manelka Dharmadasa,0,27,22,7.36,
Manelker De Silva,10,265,182,8.74,26.5
Mangala Gunasekara,13,322,289,6.69,24.77
Mangesh Yadav,3,84,47,10.72,28.0
Manik Khan,9,214,199,6.45,23.78
Manimaran Siddharth,8,200,158,7.59,25.0
Manisankar  Murasingh,4,156,140,6.69,39.0
Manish Golamaru,3,54,72,4.5,18.0
Manish Sharma,3,74,56,7.93,24.67
Manjeet Singh,2,36,25,8.64,18.0
Manjula Guruge,5,116,82,8.49,23.2
Manjula Jayawardhana,15,415,309,8.06,27.67
Manjula de Zoysa,1,33,31,6.39,33.0
Manmeet Koli,44,849,772,6.6,19.3
Manoj Bhandage,3,90,60,9.0,30.0
Manoj Tiwary,2,96,62,9.29,48.0
Manpreet Gony,4,149,81,11.04,37.25
Manpreet Singh,5,311,236,7.91,62.2
Manson Chikowero,6,88,71,7.44,14.67
Mansoor Amjad,14,189,177,6.41,13.5
Mansoor Shah,10,118,89,7.96,11.8
Manushka Samith,2,35,33,6.36,17.5
Manussur Algi,6,132,91,8.7,22.0
Marc Gouws,4,100,65,9.23,25.0
Marc Taylor,18,523,459,6.84,29.06
Marcello Piedt,10,184,160,6.9,18.4
Marchant de Lange,149,3486,2507,8.34,23.4
Marco Jansen,134,3304,2535,7.82,24.66
Marco Marais,0,15,6,15.0,
Marcus Bean,2,77,52,8.88,38.5
Marcus Campopiano,2,33,38,5.21,16.5
Marcus Cope,14,285,200,8.55,20.36
Marcus O'Riordan,10,259,191,8.14,25.9
Marcus Stoinis,193,4889,3359,8.73,25.33
Marian Gherasim,2,59,53,6.68,29.5
Marimuthu Vikneshwaran,0,2,2,6.0,
Mario Manjate,0,11,6,11.0,
Mario Smith,2,29,18,9.67,14.5
Marius Delport,1,8,12,4.0,8.0
Mark Adair,216,3732,3140,7.13,17.28
Mark Bacarese,2,51,75,4.08,25.5
Mark Chapman,16,387,319,7.28,24.19
Mark Cosgrove,1,19,12,9.5,19.0
Mark Craig,0,86,55,9.38,
Mark Deyal,16,432,317,8.18,27.0
Mark Fontaine,3,106,78,8.15,35.33
Mark Footitt,1,82,51,9.65,82.0
Mark Garratt,2,63,49,7.71,31.5
Mark Gouws,3,141,102,8.29,47.0
Mark Montfort,3,25,21,7.14,8.33
Mark Pavlovic,40,533,503,6.36,13.32
Mark Simpson-Parker,1,18,15,7.2,18.0
Mark Steketee,88,2122,1467,8.68,24.11
Mark Watt,121,3057,2488,7.37,25.26
Mark Wood,91,1540,1206,7.66,16.92
Marlon Graham,4,118,103,6.87,29.5
Marlon Samuels,5,249,171,8.74,49.8
Marlon Turner,2,36,55,3.93,18.0
Marnus Labuschagne,40,763,539,8.49,19.08
Marques Ackerman,1,88,72,7.33,88.0
Marshal Takodza,14,254,203,7.51,18.14
Martin Akayezu,93,1736,1487,7.0,18.67
Martin Andersson,34,1083,669,9.71,31.85
Martin Guptill,0,16,12,8.0,
Martin-Dale Bradley,23,379,369,6.16,16.48
Marty Kain,0,16,10,9.6,
Maruf Mridha,7,130,106,7.36,18.57
Mashford Shungu,3,23,26,5.31,7.67
Mashrafe Mortaza,116,2786,2389,7.0,24.02
Masilo Ramothata,0,22,13,10.15,
Mason Clarke,4,107,80,8.02,26.75
Mason Crane,141,3102,2335,7.97,22.0
Masood Jayezeh,0,17,6,17.0,
Masum Khan,7,317,225,8.45,45.29
Matheesha Pathirana,151,2855,2246,7.63,18.91
Matheesha Perera,9,304,283,6.45,33.78
Mathew Pillans,38,1060,734,8.66,27.89
Matias Brasier,1,79,50,9.48,79.0
Matija Sarenac,24,543,440,7.4,22.62
Matiullah,0,25,12,12.5,
Matiullah Khan,5,184,119,9.28,36.8
Matt Coles,44,1472,989,8.93,33.45
Matt Critchley,133,3243,2412,8.07,24.38
Matt Dixon,7,207,132,9.41,29.57
Matt Dunn,18,443,291,9.13,24.61
Matt Ford,7,115,115,6.0,16.43
Matt Gibson,4,96,78,7.38,24.0
Matt Henry,172,3626,2630,8.27,21.08
Matt Hollard,8,168,113,8.92,21.0
Matt Hunn,4,65,42,9.29,16.25
Matt Machan,4,100,75,8.0,25.0
Matt McEwan,0,17,6,17.0,
Matt McGillivray,4,309,213,8.7,77.25
Matt Milnes,58,1658,1112,8.95,28.59
Matt Parkinson,176,3256,2537,7.7,18.5
Matt Quinn,56,1442,1034,8.37,25.75
Matt Renshaw,9,328,255,7.72,36.44
Matt Salisbury,8,323,209,9.27,40.38
Matt Taylor,94,2222,1615,8.26,23.64
Matthew Ainsworth,11,254,213,7.15,23.09
Matthew Ansell,18,311,376,4.96,17.28
Matthew Arnold,25,566,440,7.72,22.64
Matthew Bacon,52,1065,777,8.22,20.48
Matthew Boast,0,53,26,12.23,
Matthew Boyle,0,9,6,9.0,
Matthew Breban,3,24,25,5.76,8.0
Matthew Brewster,1,39,18,13.0,39.0
Matthew Carter,72,1889,1489,7.61,26.24
Matthew Fisher,65,1973,1310,9.04,30.35
Matthew Forde,63,1429,1109,7.73,22.68
Matthew Foster,31,620,420,8.86,20.0
Matthew Humphreys,52,1094,852,7.7,21.04
Matthew Hunter,4,63,77,4.91,15.75
Matthew Jenkinson,2,51,37,8.27,25.5
Matthew Kelly,58,1163,865,8.07,20.05
Matthew Kleinveldt,3,48,56,5.14,16.0
Matthew Kostic,3,151,77,11.77,50.33
Matthew Kuhnemann,41,1282,1040,7.4,31.27
Matthew Lamb,0,9,6,9.0,
Matthew Montgomery,20,509,367,8.32,25.45
Matthew Musinguzi,6,85,79,6.46,14.17
Matthew Potts,101,2179,1574,8.31,21.57
Matthew Revis,35,999,639,9.38,28.54
Matthew Short,51,1434,1167,7.37,28.12
Matthew Spoors,3,85,61,8.36,28.33
Matthew Stokes,21,557,472,7.08,26.52
Matthew Tromp,0,19,7,16.29,
Matthew Waite,38,855,579,8.86,22.5
Matthew Weldon,2,16,26,3.69,8.0
Matthew Whelan,4,191,104,11.02,47.75
Mattie McKiernan,32,990,711,8.35,30.94
Maurice Castillo,10,203,194,6.28,20.3
Mauritius Ngupita,2,52,48,6.5,26.0
Max Birthisel,6,99,85,6.99,16.5
Max Harris,6,127,88,8.66,21.17
Max Heingo,11,116,117,5.95,10.55
Max Holden,0,12,6,12.0,
Max Neville,5,121,91,7.98,24.2
Max O'Dowd,4,164,121,8.13,41.0
Max Sorensen,17,311,253,7.38,18.29
Max Waller,86,2159,1778,7.29,25.1
Maxi Koda,60,1285,1196,6.45,21.42
Maxwell Fru,5,137,87,9.45,27.4
Mayank Dagar,18,433,379,6.85,24.06
Mayank Markande,59,1602,1157,8.31,27.15
Mayank Mishra,3,65,60,6.5,21.67
Mayank Nagayach,2,192,153,7.53,96.0
Mayank Rawat,0,9,6,9.0,
Mayank Yadav,16,315,239,7.91,19.69
Mazharul Islam,1,41,23,10.7,41.0
Mbasa Gqadushe,10,372,311,7.18,37.2
Mbulelo Budaza,42,792,602,7.89,18.86
McKenny Clarke,0,107,56,11.46,
Md Rafi Uzzaman Rafi,2,39,46,5.09,19.5
Md Rubel,12,151,179,5.06,12.58
Md Shafiqul Haque,2,25,18,8.33,12.5
Mecit Ozturk,13,310,241,7.72,23.85
Medunaka Wijayathilaka,1,21,13,9.69,21.0
Meet Bhavsar,12,253,227,6.69,21.08
Mehboob Ali,11,296,235,7.56,26.91
Mehedi Hasan,8,189,146,7.77,23.62
Mehedi Hasan Rana,70,1446,1058,8.2,20.66
Mehidy Hasan Miraz,118,3377,2721,7.45,28.62
Mehrab Hossain,3,108,69,9.39,36.0
Mehran Khan,45,760,684,6.67,16.89
Mehran Mumtaz,6,158,141,6.72,26.33
Melan Hasanka,0,19,12,9.5,
Melusi Magagula,25,485,376,7.74,19.4
Melvin Deveraj,8,209,150,8.36,26.12
Merenka Jamir,0,19,6,19.0,
Mesuli Vuba,5,54,48,6.75,10.8
Methsith Jayamanna,0,7,6,7.0,
Methushan Thilina,13,176,177,5.97,13.54
Mgcini Dube,7,225,166,8.13,32.14
Mian Siddique,3,34,47,4.34,11.33
Michael Aboagye,9,262,219,7.18,29.11
Michael Badenhorst,5,99,71,8.37,19.8
Michael Beer,23,779,694,6.73,33.87
Michael Booth,7,168,147,6.86,24.0
Michael Bracewell,98,2341,1748,8.04,23.89
Michael Charlie,3,28,31,5.42,9.33
Michael Chinouya,25,495,388,7.65,19.8
Michael Cohen,8,268,201,8.0,33.5
Michael Copeland,1,153,102,9.0,153.0
Michael Dorgan,2,81,37,13.14,40.5
Michael Erlank,10,220,175,7.54,22.0
Michael Finan,7,263,167,9.45,37.57
Michael Frost,15,559,430,7.8,37.27
Michael Granger,0,4,6,4.0,
Michael Grzinic,4,18,36,3.0,4.5
Michael Hogan,130,2572,1871,8.25,19.78
Michael Leask,55,1111,915,7.29,20.2
Michael Levitt,6,120,79,9.11,20.0
Michael Loubser,0,46,30,9.2,
Michael Mahlabe,1,26,19,8.21,26.0
Michael Mwamadi,4,76,66,6.91,19.0
Michael Neser,125,2825,2098,8.08,22.6
Michael Rae,53,1133,800,8.5,21.38
Michael Raikes,3,127,57,13.37,42.33
Michael Rippon,62,1597,1317,7.28,25.76
Michael Ross,7,100,91,6.59,14.29
Michael Snedden,13,326,250,7.82,25.08
Michael Swart,7,92,91,6.07,13.14
Michael Yardy,9,377,266,8.5,41.89
Michael van Lingen,0,35,20,10.5,
Michalis Kyriacou,0,36,21,10.29,
Michel Assuncao,0,52,18,17.33,
Mickey Edwards,1,65,43,9.07,65.0
Mickil Jaiswal,1,11,13,5.08,11.0
Migael Pretorius,84,2148,1508,8.55,25.57
Miggy Podosky,6,186,143,7.8,31.0
Miguel Cummins,4,185,109,10.18,46.25
Miguel Stoman,2,16,17,5.65,8.0
Mihir Hirwani,2,86,55,9.38,43.0
Mihiranga Silva,1,30,26,6.92,30.0
Mihlali Mpongwana,13,278,202,8.26,21.38
Mike Choamba,14,331,326,6.09,23.64
Mikey O'Reilly,3,174,121,8.63,58.0
Mikkel Govia,2,82,56,8.79,41.0
Milad Momend,26,394,296,7.99,15.15
Milan Rathnayake,27,527,454,6.96,19.52
Milen Gogev,15,442,306,8.67,29.47
Milind Kumar,13,193,181,6.4,14.85
Milinda Siriwardana,30,702,475,8.87,23.4
Milton Kavana,6,58,64,5.44,9.67
Milton Shumba,23,390,363,6.45,16.96
Mimi Alex,0,84,57,8.84,
Minhaj Jalill,4,142,117,7.28,35.5
Minhaj Kulfiwala,2,1,5,1.2,0.5
Minhajul Abedin Afridi,6,102,112,5.46,17.0
Minhaz Khojbariya,9,163,162,6.04,18.11
Minhazur Rahman,3,20,24,5.0,6.67
Miniru Kpaka,11,218,220,5.95,19.82
Mir Ali,2,44,30,8.8,22.0
Mir Hamza,62,1643,1246,7.91,26.5
Miram Gul Shinwari,0,15,7,12.86,
Miranga Wickramage,11,94,133,4.24,8.55
Mirwais Ashraf,38,803,627,7.68,21.13
Mirza Ahmed,6,96,87,6.62,16.0
Mirza Mohammed Baig,34,450,385,7.01,13.24
Mishen Silva,11,246,202,7.31,22.36
Mishkal Ramsaroop,0,17,13,7.85,
Mitchell Claydon,62,1787,1232,8.7,28.82
Mitchell Johnson,44,1254,1018,7.39,28.5
Mitchell Marsh,56,1310,972,8.09,23.39
Mitchell McClenaghan,176,4483,3248,8.28,25.47
Mitchell Owen,32,698,454,9.22,21.81
Mitchell Perry,3,103,55,11.24,34.33
Mitchell Santner,247,5666,4903,6.93,22.94
Mitchell Stanley,14,402,249,9.69,28.71
Mitchell Starc,116,2525,1885,8.04,21.77
Mitchell Swepson,85,2388,1898,7.55,28.09
Mitchell Thompson,1,48,32,9.0,48.0
Mitchell Van Buuren,0,10,6,10.0,
Mitchell Wagstaff,1,142,108,7.89,142.0
Mithila Aravinda,1,54,35,9.26,54.0
Mithira Thenura,6,83,69,7.22,13.83
Mithun Jayawickrama,25,539,455,7.11,21.56
Miyuru Heshan,4,52,52,6.0,13.0
Mkhululi Calana,0,13,14,5.57,
Mmoloki Mooketsi,57,1005,961,6.27,17.63
Moazzam Baig,47,422,551,4.6,8.98
Mobashar Ashraf,2,24,24,6.0,12.0
Modou Bojang,3,77,100,4.62,25.67
Moeen Ali,226,5273,4179,7.57,23.33
Mohaiminul Khan,5,129,120,6.45,25.8
Mohamed Abdulla,3,88,96,5.5,29.33
Mohamed Ali,3,56,50,6.72,18.67
Mohamed Arief,0,19,12,9.5,
Mohamed Coulibaly,2,69,51,8.12,34.5
Mohamed Ishmath,5,187,164,6.84,37.4
Mohamed Issa,21,402,344,7.01,19.14
Mohamed Mahfooz,11,241,211,6.85,21.91
Mohamed Miuvaan,0,32,25,7.68,
Mohamed Rashan,1,19,13,8.77,19.0
Mohamed Rishwan,0,22,14,9.43,
Mohamed Shafeeq,42,1108,936,7.1,26.38
Mohamed Shiraz,22,462,396,7.0,21.0
Mohamed Shiyam,1,63,26,14.54,63.0
Mohamed Turay,8,166,138,7.22,20.75
Mohameed Taiwo,36,747,740,6.06,20.75
Mohammad Aadil Alam,9,169,149,6.81,18.78
Mohammad Abbas,28,869,625,8.34,31.04
Mohammad Adil,0,41,24,10.25,
Mohammad Aftab,1,55,44,7.5,55.0
Mohammad Ahnaff,0,15,6,15.0,
Mohammad Ahsan,4,94,55,10.25,23.5
Mohammad Ali,33,652,454,8.62,19.76
Mohammad Amin,1,18,12,9.0,18.0
Mohammad Amir,395,8175,7030,6.98,20.7
Mohammad Amir Khan,3,185,128,8.67,61.67
Mohammad Asaduzzaman,4,174,149,7.01,43.5
Mohammad Asghar,60,1274,1072,7.13,21.23
Mohammad Ashraful,2,44,38,6.95,22.0
Mohammad Atif,15,181,242,4.49,12.07
Mohammad Azab,0,22,14,9.43,
Mohammad Boota,1,13,6,13.0,13.0
Mohammad Dawood,3,82,61,8.07,27.33
Mohammad Enamul,13,377,326,6.94,29.0
Mohammad Fayyaz,0,20,6,20.0,
Mohammad Ghazanfar,23,549,490,6.72,23.87
Mohammad Gul Alizai,14,491,368,8.01,35.07
Mohammad Hafeez,70,1676,1491,6.74,23.94
Mohammad Hasnain,142,3630,2599,8.38,25.56
Mohammad Ibrahim,25,690,533,7.77,27.6
Mohammad Ilyas,45,1119,774,8.67,24.87
Mohammad Imran,50,1588,1127,8.45,31.76
Mohammad Irfan,173,4272,3640,7.04,24.69
Mohammad Ismail,3,79,57,8.32,26.33
Mohammad Kamran,29,344,454,4.55,11.86
Mohammad Mithun,1,5,6,5.0,5.0
Mohammad Mohsin,11,525,363,8.68,47.73
Mohammad Nabi,345,8242,7161,6.91,23.89
Mohammad Nadeem,50,1200,987,7.29,24.0
Mohammad Naeem,1,15,19,4.74,15.0
Mohammad Nasim Baras,2,56,48,7.0,28.0
Mohammad Naveed,52,966,903,6.42,18.58
Mohammad Nawaz,225,5684,4607,7.4,25.26
Mohammad Riaz,6,108,116,5.59,18.0
Mohammad Rizwan,5,77,48,9.62,15.4
Mohammad Saif,0,4,1,24.0,
Mohammad Saifuddin,178,3707,2952,7.53,20.83
Mohammad Saleem,37,901,703,7.69,24.35
Mohammad Salman,0,32,18,10.67,
Mohammad Sami,123,2474,2236,6.64,20.11
Mohammad Sarwar,1,18,18,6.0,18.0
Mohammad Sentu,2,123,103,7.17,61.5
Mohammad Shahid,58,1039,841,7.41,17.91
Mohammad Shahzad,15,456,334,8.19,30.4
Mohammad Shahzada,2,64,43,8.93,32.0
Mohammad Shamshad Khan,3,57,50,6.84,19.0
Mohammad Sharif,4,289,207,8.38,72.25
Mohammad Taha,0,35,31,6.77,
Mohammad Tahir,2,91,63,8.67,45.5
Mohammad Talha,5,102,70,8.74,20.4
Mohammad Tauqir,3,77,68,6.79,25.67
Mohammad Umar,9,296,194,9.15,32.89
Mohammad Waheed,2,95,62,9.19,47.5
Mohammad Wasim,108,2759,1974,8.39,25.55
Mohammad Yasir,1,44,27,9.78,44.0
Mohammad Younus,3,88,74,7.14,29.33
Mohammad Zahid,0,28,14,12.0,
Mohammad Zeeshan,1,134,84,9.57,134.0
Mohammadullah,24,358,351,6.12,14.92
Mohammadullah Hamkar,2,98,62,9.48,49.0
Mohammed Alamgir,3,74,59,7.53,24.67
Mohammed Aslam,94,1665,1619,6.17,17.71
Mohammed Faheem,3,58,49,7.1,19.33
Mohammed Faraazuddin,3,203,114,10.68,67.67
Mohammed Irshad,15,242,174,8.34,16.13
Mohammed Nadeem,29,613,550,6.69,21.14
Mohammed Qasim,1,8,6,8.0,8.0
Mohammed Shamaaz,1,11,14,4.71,11.0
Mohammed Shami,164,4004,2850,8.43,24.41
Mohammed Siraj,133,3843,2859,8.07,28.89
Mohan Manivannan,0,31,19,9.79,
Mohan Vivekanandan,9,343,219,9.4,38.11
Mohibullah,1,20,18,6.67,20.0
Mohibullah Hamraz,4,104,79,7.9,26.0
Mohibullah Zurmati,9,249,193,7.74,27.67
Mohit Avasthi,13,255,203,7.54,19.62
Mohit Dixit,17,445,371,7.2,26.18
Mohit Jangra,2,80,67,7.16,40.0
Mohit Kumar,1,31,19,9.79,31.0
Mohit Rathee,0,29,12,14.5,
Mohit Raut,3,93,55,10.15,31.0
Mohit Redkar,4,59,49,7.22,14.75
Mohit Sharma,110,3035,2068,8.81,27.59
Mohiuddin Tareq,17,271,210,7.74,15.94
Mohomed Dilshad,39,742,612,7.27,19.03
Mohor Sheikh,31,575,437,7.89,18.55
Mohsin Khan,50,1006,785,7.69,20.12
Mohsin Zaki,3,79,61,7.77,26.33
Moin Ashraf,8,165,135,7.33,20.62
Moin Khan,5,162,115,8.45,32.4
Moinuddin,1,4,8,3.0,4.0
Moinul Islam,3,92,76,7.26,30.67
Moises Henriques,57,1510,1174,7.72,26.49
Mokbul Ahammed,0,24,24,6.0,
Molai Matsau,8,213,144,8.88,26.62
Mominul Haque,10,135,114,7.11,13.5
Mondli Khumalo,3,100,64,9.38,33.33
Monir Hossain,16,445,399,6.69,27.81
Monroux Kasselman,0,11,6,11.0,
Monu Kumar,11,191,139,8.24,17.36
Morne Bauer,0,71,32,13.31,
Morne Morkel,63,1570,1200,7.85,24.92
Morne Venter,2,30,28,6.43,15.0
Morshed Mostafa Sarwar,1,14,12,7.0,14.0
Mosaddek Hossain,73,2046,1693,7.25,28.03
Mosaddek Iftekhar,0,17,18,5.67,
Moses Anafie,8,136,119,6.86,17.0
Moses Williams,0,23,18,7.67,
Mosharraf Hossain,32,552,524,6.32,17.25
Moshiur Rahman,0,14,4,21.0,
Mousom Dhakal,1,43,37,6.97,43.0
Movin Subasingha,18,329,312,6.33,18.28
Mpilo Njoloza,9,280,213,7.89,31.11
Mrinmoy Dutta,5,203,135,9.02,40.6
Mrittunjoy Chowdhury,47,1047,789,7.96,22.28
Mthimkhulu Leporoporo,2,64,36,10.67,32.0
Mthiwekhaya Nabe,40,747,553,8.1,18.68
Mthobeli Bangindawo,1,25,18,8.33,25.0
Mthokozisi Shezi,23,728,576,7.58,31.65
Mubasir Khan,2,196,126,9.33,98.0
Mubeen Tariq,0,32,14,13.71,
Mudassar Bukhari,18,295,267,6.63,16.39
Muditha Disanayaka,0,31,23,8.09,
Muditha Lakshan,31,450,447,6.04,14.52
Muhamad Syahadat,16,146,151,5.8,9.12
Muhammad Abbas,4,172,119,8.67,43.0
Muhammad Adil,5,120,108,6.67,24.0
Muhammad Afis,0,45,25,10.8,
Muhammad Ajmal,0,19,18,6.33,
Muhammad Amin,1,39,35,6.69,39.0
Muhammad Amir,39,547,502,6.54,14.03
Muhammad Ansar,3,56,38,8.84,18.67
Muhammad Aqif Farooq,5,84,67,7.52,16.8
Muhammad Arfan,11,161,132,7.32,14.64
Muhammad Asim,27,497,479,6.23,18.41
Muhammad Ayaz,0,25,13,11.54,
Muhammad Burhan,14,253,222,6.84,18.07
Muhammad Butt,25,285,329,5.2,11.4
Muhammad Fahad,1,95,72,7.92,95.0
Muhammad Faizan,6,163,105,9.31,27.17
Muhammad Farooq,24,392,327,7.19,16.33
Muhammad Ghous,4,104,106,5.89,26.0
Muhammad Ismail,1,45,25,10.8,45.0
Muhammad Jabir,29,733,550,8.0,25.28
Muhammad Jawadullah,70,1362,1022,8.0,19.46
Muhammad Kashif,6,134,102,7.88,22.33
Muhammad Khwaja,3,44,55,4.8,14.67
Muhammad Manack,0,31,24,7.75,
Muhammad Moiz,28,427,339,7.56,15.25
Muhammad Muneeb,0,17,6,17.0,
Muhammad Murad,18,425,350,7.29,23.61
Muhammad Musa,36,1103,730,9.07,30.64
Muhammad Nadir,60,1093,1295,5.06,18.22
Muhammad Qasim,9,78,95,4.93,8.67
Muhammad Rohid,45,770,619,7.46,17.11
Muhammad Sadique,1,22,26,5.08,22.0
Muhammad Saleem,0,8,19,2.53,
Muhammad Salman,4,77,93,4.97,19.25
Muhammad Saqib,5,155,104,8.94,31.0
Muhammad Saqlain,19,295,253,7.0,15.53
Muhammad Shahzad,3,55,40,8.25,18.33
Muhammad Siddiqui,3,78,79,5.92,26.0
Muhammad Soban,4,81,91,5.34,20.25
Muhammad Tahir,2,21,18,7.0,10.5
Muhammad Tanveer,13,323,256,7.57,24.85
Muhammad Usman,4,133,123,6.49,33.25
Muhammad Wafiq,30,832,687,7.27,27.73
Muhammad Waseem,5,141,82,10.32,28.2
Muhammad Younis,0,13,7,11.14,
Muhammad Zaghlool,0,39,24,9.75,
Muhammad Zohaib,1,18,30,3.6,18.0
Muhammad Zuhaib,19,294,254,6.94,15.47
Muhammed Imran,4,42,35,7.2,10.5
Muhammed Manga,0,19,11,10.36,
Muhammed Shanil,0,49,24,12.25,
Muhammed Turkmen,4,73,67,6.54,18.25
Muhammet Bicer,0,5,9,3.33,
Muhammet Kursat,3,35,35,6.0,11.67
Mujeeb Ur Rahman,315,6845,6264,6.56,21.73
Mujeeb Zadran,2,61,47,7.79,30.5
Mujeeb-ur-Rehman,18,399,362,6.61,22.17
Mujibur Ali,0,11,6,11.0,
Mujtaba Yousuf,3,66,50,7.92,22.0
Mukesh Choudhary,21,598,414,8.67,28.48
Mukesh Kumar,73,1807,1199,9.04,24.75
Mukesh Thakur,20,356,388,5.51,17.8
Mukhtar Ahmed,4,41,27,9.11,10.25
Mukhtar Hussain,8,190,143,7.97,23.75
Mukidul Islam,67,1513,1114,8.15,22.58
Muktar Ali,45,1268,925,8.22,28.18
Mukul Kadyan,9,257,207,7.45,28.56
Munaf Patel,6,205,174,7.07,34.17
Mungun Altankhuyag,1,55,17,19.41,55.0
Munir-ur-Rehman,2,19,18,6.33,9.5
Munis Ansari,21,489,374,7.84,23.29
Murali Obili,6,233,196,7.13,38.83
Murali Vijay,0,45,43,6.28,
Muralidhara Vandrasi,9,177,149,7.13,19.67
Murat Ipek,0,3,8,2.25,
Murat Yilmaz,5,104,81,7.7,20.8
Murid Ekrami,20,452,391,6.94,22.6
Murtaza Yamin,0,29,18,9.67,
