team,matches,wins,win_pct
Galle Guardians,6,3,50.0
Galle Marvels,10,5,50.0
Galle Titans,10,3,30.0
Gambia,10,1,10.0
Gauteng,24,11,45.8
Gazi Group Chattogram,11,8,72.7
Gazi Group Cricketers,19,10,52.6
Gemcon Khulna,10,6,60.0
Germany,60,36,60.0
Ghana,43,18,41.9
Gibraltar,49,15,30.6
Glamorgan,142,61,43.0
Gloucestershire,149,76,51.0
Goa,12,5,41.7
Greece,12,2,16.7
Guernsey,39,18,46.2
Gujarat,10,6,60.0
Gujarat Lions,30,13,43.3
Gujarat Titans,60,37,61.7
Gulf Giants,28,12,42.9
Guyana Amazon Warriors,136,84,61.8
Hambantota Troopers,5,3,60.0
Hampshire,157,72,45.9
Haryana,13,6,46.2
Himachal Pradesh,11,7,63.6
Hindukush Stars,7,1,14.3
Hindukush Strikers,7,7,100.0
Hobart Hurricanes,125,61,48.8
Hong Kong,122,52,42.6
Hungary,42,18,42.9
Hyderabad (India),11,6,54.5
Hyderabad Region,2,1,50.0
India,205,141,68.8
India A,8,5,62.5
Indonesia,78,35,44.9
Iran,2,0,0.0
Ireland,143,56,39.2
Ireland A,9,3,33.3
Islamabad,14,5,35.7
Islamabad Region,4,1,25.0
Islamabad United,112,61,54.5
Isle of Man,20,10,50.0
Israel,9,3,33.3
Italy,34,23,67.6
Ivory Coast,5,0,0.0
Jaffna Kings,40,18,45.0
Jamaica Tallawahs,99,45,45.5
Jammu & Kashmir,7,2,28.6
Japan,49,32,65.3
Jersey,53,34,64.2
Jharkhand,14,7,50.0
Joburg Super Kings,31,14,45.2
Jozi Stars,18,7,38.9
Kabul Eagles,30,20,66.7
Kabul Zwanan,10,5,50.0
Kalutara Town Club,26,3,11.5
Kandahar Knights,8,2,25.0
Kandy,6,2,33.3
Kandy Crusaders,4,1,25.0
Kandy Customs Cricket Club,26,5,19.2
Kandy Falcons,20,11,55.0
Kandy Warriors,8,0,0.0
Karachi Blues,9,6,66.7
Karachi Kings,104,42,40.4
Karachi Region Blues,5,3,60.0
Karachi Region Whites,4,1,25.0
Karachi Whites,19,9,47.4
Karnataka,12,8,66.7
Kent,151,73,48.3
Kenya,96,54,56.2
Kerala,7,4,57.1
Khelaghar Samaj Kallyan Samity,13,4,30.8
Khulna Division,8,6,75.0
Khulna Tigers,100,28,28.0
Khyber Pakhtunkhwa,26,16,61.5
Knights,57,17,29.8
Kolkata Knight Riders,160,82,51.2
Kurunegala Warriors,5,2,40.0
Kurunegala Youth Cricket Club,33,8,24.2
Kuwait,69,39,56.5
KwaZulu-Natal,23,11,47.8
KwaZulu-Natal Inland,31,19,61.3
Lahore Blues,15,9,60.0
Lahore Lions,4,3,75.0
Lahore Qalandars,111,50,45.0
Lahore Region Blues,3,2,66.7
Lahore Region Whites,4,2,50.0
Lahore Whites,19,13,68.4
Lancashire,150,85,56.7
Lankan Cricket Club,25,6,24.0
Legends of Rupganj,15,5,33.3
Leicestershire,145,57,39.3
Leinster Lightning,53,38,71.7
Lesotho,17,3,17.6
Limpopo,11,4,36.4
Lions,62,30,48.4
Lions (Zimbabwe),5,0,0.0
London Spirit (Men),38,12,31.6
Los Angeles Knight Riders,16,4,25.0
Lucknow Super Giants,58,30,51.7
Luxembourg,42,14,33.3
MI Cape Town,32,15,46.9
MI Emirates,28,15,53.6
MI New York,20,8,40.0
Madhya Pradesh,17,9,52.9
Mah-e-Par Stars,6,2,33.3
Maharashtra,6,4,66.7
Maiwand Champions,6,1,16.7
Malawi,49,21,42.9
Malaysia,111,65,58.6
Maldives,41,9,22.0
Mali,10,0,0.0
Malta,71,29,40.8
Manchester Originals (Men),42,17,40.5
Manipur,5,0,0.0
Marylebone Cricket Club,2,0,0.0
Mashonaland Eagles,42,20,47.6
Matabeleland Tuskers,41,13,31.7
Meghalaya,2,0,0.0
Melbourne Renegades,116,48,41.4
Melbourne Stars,124,55,44.4
Mexico,17,6,35.3
Mid West Rhinos,42,22,52.4
Middlesex,146,45,30.8
Minister Group Dhaka,75,4,5.3
Minister Rajshahi,8,2,25.0
Mis Ainak Knights,45,26,57.8
Mis Ainak Region,8,5,62.5
Mizoram,6,0,0.0
Mohammedan Sporting Club,18,7,38.9
