bowl,wickets,runs,balls,econ,avg
Alasdair Evans,49,1488,1723,5.18,30.37
Josh Davey,49,1071,1347,4.77,21.86
Nikita Miller,48,1641,2118,4.65,34.19
Paul Stirling,48,1907,2442,4.69,39.73
Steve Harmison,47,1569,1842,5.11,33.38
Andy McBrine,47,1489,2054,4.35,31.68
Shaheen Shah Afridi,47,974,1136,5.14,20.72
Samiullah Shinwari,47,1711,2125,4.83,36.4
Axar Patel,47,1409,1927,4.39,29.98
Aftab Alam,47,1033,1291,4.8,21.98
Vinay Kumar,46,1423,1459,5.85,30.93
Ryan Harris,46,832,1051,4.75,18.09
Shapoor Zadran,46,1566,2034,4.62,34.04
Chris Jordan,45,1521,1633,5.59,33.8
Imad Wasim,45,1908,2388,4.79,42.4
Harvir Baidwan,45,1228,1436,5.13,27.29
Rohan Mustafa,44,1244,1600,4.66,28.27
Mitchell Marsh,44,1564,1741,5.39,35.55
Tawanda Mupariwa,44,1361,1632,5.0,30.93
John Hastings,44,1256,1532,4.92,28.55
Michael Clarke,44,1637,2031,4.84,37.2
Sulieman Benn,43,1929,2436,4.75,44.86
Ravi Bopara,43,1523,1906,4.79,35.42
Mehidy Hasan Miraz,43,1520,1970,4.63,35.35
Adam Milne,43,1581,1871,5.07,36.77
Vernon Philander,42,986,1319,4.49,23.48
Suresh Raina,42,1811,2149,5.06,43.12
Sheldon Cottrell,42,1293,1369,5.67,30.79
Lungi Ngidi,42,947,1052,5.4,22.55
Amir Hamza,41,1020,1569,3.9,24.88
Kane Williamson,41,1310,1495,5.26,31.95
Pieter Seelaar,41,1287,1679,4.6,31.39
Ish Sodhi,41,1430,1566,5.48,34.88
Norman Vanua,41,882,1094,4.84,21.51
Nazmul Hossain,40,1191,1398,5.11,29.78
Nadeem Ahmed,40,866,1282,4.05,21.65
Kane Richardson,40,1061,1167,5.46,26.52
Shahadat Hossain,40,1827,1944,5.64,45.68
Naeem Islam,39,1409,1782,4.74,36.13
Mark Gillespie,39,1367,1567,5.23,35.05
Mark Watt,39,1010,1439,4.21,25.9
Grant Elliott,39,1149,1292,5.34,29.46
Chamu Chibhabha,38,1602,1705,5.64,42.16
Sajid Mahmood,38,1113,1238,5.39,29.29
Peter Ongondo,38,1237,1647,4.51,32.55
Devendra Bishoo,38,1668,2056,4.87,43.89
Suraj Randiv,38,1214,1447,5.03,31.95
Khurram Chohan,38,992,1148,5.18,26.11
Ed Rainsford,38,1024,1438,4.27,26.95
Yusuf Pathan,37,1368,1520,5.4,36.97
Hamilton Masakadza,37,1570,1799,5.24,42.43
Ramesh Powar,37,1148,1513,4.55,31.03
Abdur Rehman,36,1147,1656,4.16,31.86
Brian Vitori,36,1148,1245,5.53,31.89
Malinga Bandara,36,1142,1367,5.01,31.72
Marcus Stoinis,35,1471,1487,5.94,42.03
Kyle Abbott,35,1051,1339,4.71,30.03
Ryan ten Doeschate,35,986,1204,4.91,28.17
Peter Borren,35,1182,1603,4.42,33.77
Donald Tiripano,35,1160,1301,5.35,33.14
Steve Tikolo,34,1166,1445,4.84,34.29
Usman Shinwari,34,633,787,4.83,18.62
Peter Chase,34,1356,1305,6.23,39.88
Richie Berrington,34,1232,1421,5.2,36.24
Mohit Sharma,34,1020,1153,5.31,30.0
Dhammika Prasad,34,939,1016,5.55,27.62
Henry Osinde,34,946,1267,4.48,27.82
Jimmy Kamande,34,1324,1617,4.91,38.94
Seekkuge Prasanna,34,1767,1976,5.37,51.97
Iain Wardlaw,34,1038,1176,5.3,30.53
Imran Haider,33,835,958,5.23,25.3
Shannon Gabriel,33,1130,1199,5.65,34.24
Ben Hilfenhaus,33,1079,1280,5.06,32.7
Piyush Chawla,33,1117,1330,5.04,33.85
Dwaine Pretorius,32,813,1030,4.74,25.41
Zahoor Khan,32,703,774,5.45,21.97
Rizwan Cheema,32,1042,1266,4.94,32.56
Ahmed Raza,32,991,1510,3.94,30.97
Jade Dernbach,31,1308,1282,6.12,42.19
Jeevan Mendis,31,1204,1424,5.07,38.84
Alzarri Joseph,31,1107,1073,6.19,35.71
Ehsan Khan,31,589,809,4.37,19.0
Sunil Dhaniram,30,892,1179,4.54,29.73
Tom Curran,30,805,781,6.18,26.83
Monty Panesar,30,982,1321,4.46,32.73
Aaron Phangiso,30,829,1103,4.51,27.63
Umar Bhatti,29,879,1270,4.15,30.31
Kedar Jadhav,29,1020,1215,5.04,35.17
Kyle McCallan,29,887,1340,3.97,30.59
Andy McKay,29,803,980,4.92,27.69
Arafat Sunny,29,600,837,4.3,20.69
Ryan Sidebottom,29,955,1234,4.64,32.93
Nathan Lyon,29,1334,1640,4.88,46.0
Andre Botha,29,807,1144,4.23,27.83
Steven Smith,29,963,1075,5.37,33.21
Hamish Bennett,29,621,750,4.97,21.41
Corey Collymore,28,935,1380,4.07,33.39
Assad Vala,28,634,1039,3.66,22.64
Andrew White,28,551,702,4.71,19.68
Shingi Masakadza,28,892,836,6.4,31.86
Gordon Drummond,28,908,1259,4.33,32.43
Elijah Otieno,27,901,986,5.48,33.37
Blessing Muzarabani,27,859,998,5.16,31.81
Craig Young,27,564,689,4.91,20.89
Dhananjaya de Silva,26,899,1039,5.19,34.58
Tino Best,26,953,1123,5.09,36.65
Brad Wheal,26,489,691,4.25,18.81
Mohammad Saifuddin,26,909,940,5.8,34.96
Chad Soper,26,719,916,4.71,27.65
Luke Jongwe,26,759,905,5.03,29.19
Michael Mason,26,729,875,5.0,28.04
Yasir Shah,25,1150,1302,5.3,46.0
Doug Bracewell,25,798,951,5.03,31.92
Nasir Hossain,25,988,1263,4.69,39.52
Michael Leask,25,996,1126,5.31,39.84
Asela Gunaratne,25,723,846,5.13,28.92
Mohammad Sami,25,914,1063,5.16,36.56
Aizaz Cheema,24,593,673,5.29,24.71
Mark Jonkman,24,541,707,4.59,22.54
Jason Gillespie,24,741,974,4.56,30.88
Jhye Richardson,24,632,660,5.75,26.33
Oshane Thomas,24,825,765,6.47,34.38
Farhad Reza,24,1000,1125,5.33,41.67
Jake Ball,24,980,975,6.03,40.83
Gordon Goudie,24,680,873,4.67,28.33
Sohag Gazi,24,722,942,4.6,30.08
Colin de Grandhomme,24,1046,1335,4.7,43.58
Tendai Chisoro,24,684,917,4.48,28.5
Samit Patel,24,1089,1191,5.49,45.38
Sachin Tendulkar,24,1047,1174,5.35,43.62
Daryl Tuffey,24,986,1017,5.82,41.08
Al-Amin Hossain,24,523,618,5.08,21.79
Jofra Archer,23,569,760,4.49,24.74
Kabir Ali,23,682,704,5.81,29.65
Murali Kartik,23,839,1013,4.97,36.48
Faheem Ashraf,23,775,963,4.83,33.7
Darren Gough,23,783,947,4.96,34.04
Shaminda Eranga,23,686,744,5.53,29.83
Michael Yardy,23,1076,1354,4.77,46.78
Keith Dabengwa,22,814,959,5.09,37.0
Nosaina Pokana,22,490,633,4.64,22.27
Wellington Masakadza,22,734,870,5.06,33.36
Anthony Ireland,22,760,879,5.19,34.55
Keemo Paul,22,737,775,5.71,33.5
Joe Root,22,1364,1446,5.66,62.0
Gary Brent,21,766,1007,4.56,36.48
Lameck Onyango,21,647,713,5.44,30.81
John Blain,21,536,696,4.62,25.52
Michael Kasprowicz,21,524,708,4.44,24.95
Rob Taylor,21,606,725,5.02,28.86
Dan Christian,21,595,739,4.83,28.33
Stuart Binny,21,439,503,5.24,20.9
Rahat Ali,20,658,705,5.6,32.9
Dushmantha Chameera,20,796,933,5.12,39.8
Dhawal Kulkarni,20,508,627,4.86,25.4
David Hussey,20,698,815,5.14,34.9
Edgar Schiferli,20,397,542,4.39,19.85
Peter Siddle,20,743,921,4.84,37.15
Anwar Ali,20,944,941,6.02,47.2
Neville Madziva,20,519,548,5.68,25.95
Mahuru Dai,20,641,945,4.07,32.05
Pragyan Ojha,20,624,852,4.39,31.2
Dave Langford-Smith,19,566,750,4.53,29.79
Sohail Khan,19,597,691,5.18,31.42
Johan van der Wath,19,551,541,6.11,29.0
Ajmal Shahzad,19,483,614,4.72,25.42
John Nyumbu,19,738,863,5.13,38.84
Aizaz Khan,19,681,754,5.42,35.84
Tabraiz Shamsi,19,798,896,5.34,42.0
Tanwir Afzal,19,596,861,4.15,31.37
Lakshan Sandakan,19,1031,992,6.24,54.26
Mosaddek Hossain,18,787,912,5.18,43.72
James Ngoche,18,566,880,3.86,31.44
Rusty Theron,18,379,429,5.3,21.06
Anil Kumble,18,558,696,4.81,31.0
Roelof van der Merwe,18,658,804,4.91,36.56
Jon Lewis,18,501,746,4.03,27.83
Justin Kemp,18,598,784,4.58,33.22
Graeme Smith,18,707,833,5.09,39.28
Mark Adair,17,509,505,6.05,29.94
Mohammad Nawaz,17,607,708,5.14,35.71
Chris Sole,17,453,544,5.0,26.65
Isuru Udana,17,631,660,5.74,37.12
Chris Cairns,17,684,667,6.15,40.24
Scott Boland,17,725,731,5.95,42.65
Chanaka Welegedara,17,433,474,5.48,25.47
Ruchira Perera,17,657,746,5.28,38.65
Luke Wright,17,884,1056,5.02,52.0
Reece Topley,17,410,483,5.09,24.12
Con de Lange,17,355,520,4.1,20.88
Sohrawordi Shuvo,17,572,773,4.44,33.65
Alei Nao,17,462,582,4.76,27.18
Dwayne Leverock,16,598,889,4.04,37.38
Sachith Pathirana,16,724,777,5.59,45.25
Iain O'Brien,16,488,462,6.34,30.5
Charles Amini,16,555,737,4.52,34.69
Ehsan Nawaz,16,452,532,5.1,28.25
John Reva,16,356,404,5.29,22.25
Kevin Hurdle,16,391,495,4.74,24.44
Jason Behrendorff,16,517,602,5.15,32.31
Max Sorensen,16,520,568,5.49,32.5
James Pattinson,16,681,763,5.36,42.56
Sandeep Lamichhane,16,221,320,4.14,13.81
Anshy Rath,15,167,339,2.96,11.13
Lahiru Kumara,15,623,566,6.6,41.53
Tom Cooper,15,428,552,4.65,28.53
Chris Tremlett,15,705,822,5.15,47.0
Rumman Raees,15,464,475,5.86,30.93
Greg Lamb,15,467,659,4.25,31.13
Ian Butler,15,480,533,5.4,32.0
Farhaan Behardien,15,719,765,5.64,47.93
Enamul Haque jnr,15,426,584,4.38,28.4
Andrew Tye,15,392,400,5.88,26.13
Craig McMillan,15,459,468,5.88,30.6
Peter Connell,15,395,482,4.92,26.33
Khaleel Ahmed,15,465,496,5.62,31.0
Jamie Dalrymple,15,668,870,4.61,44.53
Rahmat Shah,14,505,539,5.62,36.07
Ross Lyons,14,468,669,4.2,33.43
Rodney Trott,14,324,400,4.86,23.14
Saurabh Netravalkar,14,210,405,3.11,15.0
Andrew Ellis,14,425,498,5.12,30.36
Ahsan Malik,14,423,499,5.09,30.21
Manzarul Islam,14,300,432,4.17,21.43
Ashok Dinda,14,612,613,5.99,43.71
Nicky Boje,14,391,572,4.1,27.93
Wanindu Hasaranga,14,429,405,6.36,30.64
Ashley Giles,14,578,787,4.41,41.29
David Bernard,14,508,642,4.75,36.29
Albert van der Merwe,14,319,426,4.49,22.79
Alok Kapali,14,541,586,5.54,38.64
Stuart Thompson,14,490,593,4.96,35.0
Matthew Parker,13,326,434,4.51,25.08
Jesse Ryder,13,412,419,5.9,31.69
Arshad Khan,13,321,456,4.22,24.69
Upul Chandana,13,523,618,5.08,40.23
Haseeb Amjad,13,287,358,4.81,22.08
Blessing Mahwire,13,517,592,5.24,39.77
Cameron White,13,350,346,6.07,26.92
Travis Head,13,737,776,5.7,56.69
Dilruwan Perera,13,409,466,5.27,31.46
Dave Mohammed,13,235,354,3.98,18.08
Chris Martin,13,532,639,5.0,40.92
Rory Kleinveldt,13,448,542,4.96,34.46
Anthony Martin,13,296,447,3.97,22.77
Haris Sohail,13,613,649,5.67,47.15
Simi Singh,13,378,571,3.97,29.08
Dimitri Mascarenhas,13,634,831,4.58,48.77
Solomon Mire,13,515,531,5.82,39.62
Hamza Tahir,13,229,342,4.02,17.62
Sharafuddin Ashraf,13,547,766,4.28,42.08
Manjula Guruge,12,337,360,5.62,28.08
Dewald Nel,12,500,580,5.17,41.67
George Codrington,12,354,412,5.16,29.5
Amir Hayat,12,380,465,4.9,31.67
Roston Chase,12,510,655,4.67,42.5
Tafadzwa Kamungozi,12,548,640,5.14,45.67
Mick Lewis,12,402,355,6.79,33.5
Balaji Rao,12,448,479,5.61,37.33
Parth Desai,12,482,609,4.75,40.17
Shardul Thakur,11,390,400,5.85,35.45
Collins Obuya,11,439,463,5.69,39.91
Harry Gurney,11,432,480,5.4,39.27
Lionel Baker,11,352,429,4.92,32.0
Nigel Jones,11,233,393,3.56,21.18
Saleem Mukuddem,11,259,322,4.83,23.55
Hiral Patel,11,352,417,5.06,32.0
Richard Ngarava,11,545,544,6.01,49.55
Varun Aaron,11,419,405,6.21,38.09
Jeffrey Vandersay,11,480,504,5.71,43.64
Mohammad Hasnain,11,329,314,6.29,29.91
Ben Wheeler,11,315,319,5.92,28.64
Ziaur Rahman,10,301,397,4.55,30.1
Amjad Javed,10,614,652,5.65,61.4
Tim de Leede,10,249,354,4.22,24.9
Sourav Ganguly,10,441,514,5.15,44.1
Amila Aponso,10,377,431,5.25,37.7
Rohit Sharma,10,515,596,5.18,51.5
Shem Ngoche,10,334,398,5.04,33.4
Lahiru Gamage,10,392,418,5.63,39.2
Wavell Hinds,10,438,435,6.04,43.8
Keegan Meth,10,413,400,6.19,41.3
Billy Stelling,10,193,329,3.52,19.3
Malcolm Waller,10,566,676,5.02,56.6
Moises Henriques,10,347,408,5.1,34.7
Karima Gore,10,209,301,4.17,20.9
Ashton Agar,10,458,498,5.52,45.8
Javed Ahmadi,10,328,413,4.77,32.8
Kasun Rajitha,10,379,368,6.18,37.9
Kaushal Lokuarachchi,10,263,355,4.45,26.3
Kevin Sandher,10,259,309,5.03,25.9
Soumya Sarkar,10,318,328,5.82,31.8
Rawl Lewis,10,376,444,5.08,37.6
Andre Adams,10,382,416,5.51,38.2
Tom Sole,10,387,519,4.47,38.7
Ian Blackwell,10,393,587,4.02,39.3
Ryan Watson,10,376,447,5.05,37.6
Ramnaresh Sarwan,10,330,331,5.98,33.0
Rob Nicol,10,329,347,5.69,32.9
Ishara Amerasinghe,10,363,435,5.01,36.3
Monde Zondeki,9,369,379,5.84,41.0
John Davison,9,432,513,5.05,48.0
Pedro Collins,9,266,358,4.46,29.56
Kesrick Williams,9,285,338,5.06,31.67
Mohammad Tauqir,9,303,376,4.84,33.67
Milinda Siriwardana,9,547,608,5.4,60.78
Matt Machan,9,387,410,5.66,43.0
Calum MacLeod,9,666,784,5.1,74.0
Miguel Cummins,9,474,473,6.01,52.67
Taurai Muzarabani,9,262,328,4.79,29.11
Craig Wright,9,249,347,4.31,27.67
Colin Munro,9,481,563,5.13,53.44
Jaydev Unadkat,9,209,314,3.99,23.22
Stuart Matsikenyeri,8,366,443,4.96,45.75
Tapash Baisya,8,506,467,6.5,63.25
Dinesh Mongia,8,287,314,5.48,35.88
Wiaan Mulder,8,308,335,5.52,38.5
Khurram Khan,8,352,380,5.56,44.0
Veerasammy Permaul,8,271,337,4.82,33.88
Kevin Pietersen,8,348,403,5.18,43.5
Jimmy Hansra,8,416,461,5.41,52.0
Qadeer Ahmed,8,461,523,5.29,57.62
Barinder Sran,8,269,317,5.09,33.62
