year,bat,runs,balls,sr
2020,Shai Hope,282,376,75.0
2020,Sharad Vesawkar,55,108,50.93
2020,Shikhar Dhawan,290,317,91.48
2020,Shreyas Iyer,332,348,95.4
2020,Sikandar Raza,200,190,105.26
2020,Simi Singh,70,117,59.83
2020,Stephan Baard,33,87,37.93
2020,Steven Smith,568,533,106.57
2020,Subash Khakurel,25,56,44.64
2020,Sunil Ambris,86,106,81.13
2020,Suraj Kumar,94,100,94.0
2020,Tamim Iqbal,310,288,107.64
2020,Temba Bavuma,174,193,90.16
2020,Thisara Perera,106,78,135.9
2020,Tinashe Kamunhukamwe,56,84,66.67
2020,Tinotenda Mutombodzi,65,74,87.84
2020,Tom Banton,134,145,92.41
2020,Tom Curran,114,139,82.01
2020,Tom Latham,146,136,107.35
2020,Virat Kohli,431,467,92.29
2020,Wahab Riaz,60,62,96.77
2020,Wanindu Hasaranga,75,58,129.31
2020,Wessly Madhevere,227,250,90.8
2020,William Porterfield,54,98,55.1
2020,Xavier Marshall,54,92,58.7
2020,Zane Green,82,86,95.35
2020,Zeeshan Maqsood,215,253,84.98
2021,Aasif Sheikh,189,261,72.41
2021,Adam Zampa,48,69,69.57
2021,Afif Hossain,139,123,113.01
2021,Aiden Markram,200,214,93.46
2021,Alex Carey,112,152,73.68
2021,Alzarri Joseph,69,120,57.5
2021,Andile Phehlukwayo,168,187,89.84
2021,Andy Balbirnie,411,578,71.11
2021,Andy McBrine,85,130,65.38
2021,Aqib Ilyas,191,240,79.58
2021,Asghar Afghan,68,99,68.69
2021,Ashen Bandara,141,217,64.98
2021,Assad Vala,213,302,70.53
2021,Avishka Fernando,311,368,84.51
2021,Ayaan Khan,241,392,61.48
2021,Babar Azam,405,375,108.0
2021,Bas de Leede,62,170,36.47
2021,Ben Stokes,189,157,120.38
2021,Bhanuka Rajapaksa,89,85,104.71
2021,Binod Bhandari,70,125,56.0
2021,Brendan Taylor,154,184,83.7
2021,Brydon Carse,43,52,82.69
